관리번호,급경사지명,소재지,비고(Note),region,경사도(Slope),곡률(Curvature),거칠기(Roughness),사면향(Aspect),aspect_sin,aspect_cos,S1_transfer,S1_used,Susceptibility,RiskScore,risk_grade5_by_region
43,세대5지구,정선읍 용탄리 산156-2 도,실측값,정선_v2(라벨없음),9.71,-0.71,55.18,243.28,-0.8932144919853733,-0.4496308166788743,0.566574208601148,0.5057177080245527,0.4045741664196422,40.457417,4
44,벽탄초교지구,정선읍 용탄리 산305임,실측값,정선_v2(라벨없음),19.28,-0.11,77.91,216.57,-0.5958044390085682,-0.8031295477428815,0.5847503418267185,0.5252482102232313,0.4201985681785851,42.019857,4
45,강원 정선 정선 용탄 N3지구,정선읍 용탄리 산199-1도,실측값,정선_v2(라벨없음),7.3,1.0,53.97,37.09,0.6030687739024163,0.797689196331401,0.7805608190163199,0.7428277120117617,0.5942621696094094,59.426217,5
46,강원 정선 정선 용탄 N4지구,정선읍 용탄리 산199-1도,실측값,정선_v2(라벨없음),7.3,1.0,53.97,37.09,0.6030687739024163,0.797689196331401,0.7805608190163199,0.7428277120117617,0.5942621696094094,59.426217,5
47,강원 정선 정선 용탄 N2지구,정선읍 용탄리 산1임,실측값,정선_v2(라벨없음),8.98,-0.83,66.08,116.24,0.8969499218110301,-0.44213214966024256,0.8585486705105906,0.8327562561457694,0.6662050049166156,66.6205,5
48,광하교밑지구,정선읍 용탄리 548-12 도,실측값,정선_v2(라벨없음),16.65,-0.69,70.23,211.37,-0.5205626422897601,-0.8538234802652731,0.7716827962061971,0.7327006585887547,0.5861605268710037,58.616053,5
49,군언2지구,정선읍 광하리 산244임,실측값,정선_v2(라벨없음),34.56,0.32,149.19,42.11,0.6705561079609131,0.7418588181563337,0.7291039164258907,0.6844588090835424,0.5475670472668339,54.756705,5
50,강원 정선 정선 가수 N1지구,정선읍 가수리 281-1도,실측값,정선_v2(라벨없음),9.76,-0.79,67.44,231.13,-0.7785718425192171,-0.627555484428454,0.7710326783288565,0.7319599889872815,0.5855679911898253,58.556799,5
51,강원 정선 고한 고한 N8지구,고한읍 고한리 129-2도,추정값 (시뮬레이션),정선_v2(라벨없음),36.65,0.16,144.47,287.38,-0.9543446553069652,0.2987076813324855,0.18824978427294434,0.13479735937313145,0.10783788749850516,10.783789,1
52,고한초교옆지구,고한읍 고한리 73-14대,추정값 (시뮬레이션),정선_v2(라벨없음),19.59,0.51,124.59,163.58,0.28267630338317346,-0.9592153603365743,0.45785019736661503,0.3916229070373617,0.31329832562988935,31.329833,3
53,고한읍사무소지구,고한읍 고한리 84-8 잡,추정값 (시뮬레이션),정선_v2(라벨없음),5.29,-0.28,108.74,144.92,0.574719628890889,-0.8183503822737048,0.28803363541403526,0.224559714289868,0.17964777143189442,17.964777,2
54,고한2지구,고한읍 고한리 99-1철,추정값 (시뮬레이션),정선_v2(라벨없음),21.14,0.13,112.46,13.58,0.23480282039058192,0.9720430214433043,0.42869362466317157,0.3618898728176723,0.28951189825413787,28.95119,3
55,태백 79km940(좌),고한읍 고한리 99-1철,추정값 (시뮬레이션),정선_v2(라벨없음),4.03,-0.25,85.44,80.54,0.9864005861418533,0.1643590084510375,0.6087615042995042,0.5512347881267474,0.44098783050139795,44.098783,4
56,막골1지구,고한읍 고한리 99-23대,추정값 (시뮬레이션),정선_v2(라벨없음),17.23,0.93,139.75,225.9,-0.7181262977631889,-0.6959127965923142,0.3811344404443189,0.31426342085641334,0.2514107366851307,25.141074,2
57,강원-태백선75-충,고한읍 고한리 산2-2 철,추정값 (시뮬레이션),정선_v2(라벨없음),4.59,0.39,44.9,325.44,-0.5672689491267565,0.8235325976284275,0.7085387634825971,0.6613575839715986,0.5290860671772789,52.908607,5
58,강원 정선 고한 고한 N12지구,고한읍 고한리 산1-303 임,추정값 (시뮬레이션),정선_v2(라벨없음),22.3,0.07,148.86,103.97,0.9704222632724968,-0.24141381680650528,0.19786022776293474,0.14309689345759002,0.11447751476607203,11.447751,1
59,강원 정선 고한 고한 N11지구,고한읍 고한리 산 1-270임,추정값 (시뮬레이션),정선_v2(라벨없음),16.7,-0.83,74.0,111.2,0.9323238012155122,-0.3616245700820923,0.41377203124013906,0.34682736598494085,0.2774618927879527,27.746189,3
60,강원 정선 고한 고한 N9지구,고한읍 고한리 산 1-270임,추정값 (시뮬레이션),정선_v2(라벨없음),5.23,-0.77,112.97,183.09,-0.05390453463600181,-0.9985460936510022,0.29327333603155065,0.22947062327691026,0.18357649862152822,18.35765,2
61,삼봉지구,고한읍 고한리 36-14대,추정값 (시뮬레이션),정선_v2(라벨없음),,0.08,131.24,207.05,-0.45476787664929186,-0.8906100035188772,0.39130612476935916,0.324354535188079,0.2594836281504632,25.948363,2
62,진골지구,고한읍 고한리 47-1도,추정값 (시뮬레이션),정선_v2(라벨없음),33.98,-0.39,132.17,241.67,-0.8802290008207914,-0.4745491609033054,0.24034006728452698,0.18071383989697806,0.14457107191758245,14.457107,1
